timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:06:31.178, 5 %, 0 %, 20065 MiB, 81920 MiB, 46, 96.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:31.429, 5 %, 0 %, 20065 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:31.679, 5 %, 0 %, 20065 MiB, 81920 MiB, 45, 97.83 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:31.930, 7 %, 1 %, 20065 MiB, 81920 MiB, 54, 337.02 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:32.181, 100 %, 69 %, 20065 MiB, 81920 MiB, 56, 405.05 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:06:32.432, 100 %, 65 %, 20065 MiB, 81920 MiB, 57, 357.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:32.683, 100 %, 53 %, 20065 MiB, 81920 MiB, 58, 403.52 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:32.936, 16 %, 0 %, 20067 MiB, 81920 MiB, 47, 96.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:33.187, 2 %, 0 %, 20067 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:33.437, 4 %, 0 %, 20067 MiB, 81920 MiB, 45, 95.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:33.688, 5 %, 0 %, 20067 MiB, 81920 MiB, 44, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:33.938, 42 %, 28 %, 20067 MiB, 81920 MiB, 53, 393.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:34.191, 100 %, 65 %, 20067 MiB, 81920 MiB, 54, 337.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:34.442, 100 %, 68 %, 20067 MiB, 81920 MiB, 56, 351.00 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:34.692, 100 %, 63 %, 20067 MiB, 81920 MiB, 58, 407.78 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:34.943, 100 %, 49 %, 20067 MiB, 81920 MiB, 55, 409.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:35.193, 42 %, 12 %, 20081 MiB, 81920 MiB, 48, 100.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:35.444, 4 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:35.694, 3 %, 0 %, 20081 MiB, 81920 MiB, 45, 95.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:35.945, 5 %, 0 %, 20081 MiB, 81920 MiB, 45, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:36.195, 45 %, 29 %, 20081 MiB, 81920 MiB, 53, 398.07 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:36.446, 100 %, 65 %, 20081 MiB, 81920 MiB, 56, 407.78 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:36.696, 100 %, 68 %, 20081 MiB, 81920 MiB, 56, 367.12 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:36.947, 100 %, 49 %, 20081 MiB, 81920 MiB, 58, 398.66 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:37.197, 71 %, 29 %, 20081 MiB, 81920 MiB, 50, 101.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:37.448, 7 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:37.698, 3 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:37.949, 67 %, 44 %, 20081 MiB, 81920 MiB, 54, 390.15 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:38.199, 98 %, 66 %, 20081 MiB, 81920 MiB, 54, 265.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:38.450, 92 %, 49 %, 20081 MiB, 81920 MiB, 55, 342.21 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:38.700, 79 %, 34 %, 20081 MiB, 81920 MiB, 48, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:38.951, 4 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:39.201, 5 %, 0 %, 20081 MiB, 81920 MiB, 45, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:39.451, 4 %, 0 %, 20081 MiB, 81920 MiB, 50, 374.44 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:39.702, 60 %, 39 %, 20081 MiB, 81920 MiB, 55, 381.37 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:39.952, 100 %, 66 %, 20081 MiB, 81920 MiB, 56, 324.56 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:40.203, 100 %, 61 %, 20081 MiB, 81920 MiB, 58, 398.34 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:40.453, 100 %, 49 %, 20081 MiB, 81920 MiB, 50, 103.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:40.704, 29 %, 6 %, 20081 MiB, 81920 MiB, 47, 96.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:40.954, 4 %, 0 %, 20081 MiB, 81920 MiB, 46, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:41.205, 4 %, 0 %, 20081 MiB, 81920 MiB, 45, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:41.455, 4 %, 0 %, 20081 MiB, 81920 MiB, 45, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:41.705, 4 %, 0 %, 20081 MiB, 81920 MiB, 52, 397.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:41.956, 87 %, 58 %, 20081 MiB, 81920 MiB, 54, 348.87 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:42.216, 100 %, 65 %, 20081 MiB, 81920 MiB, 57, 406.58 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/09 01:06:42.466, 100 %, 55 %, 20081 MiB, 81920 MiB, 58, 397.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:42.717, 85 %, 39 %, 20081 MiB, 81920 MiB, 50, 129.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:42.967, 12 %, 0 %, 20081 MiB, 81920 MiB, 47, 97.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
