timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:28:34.722, 6 %, 0 %, 18269 MiB, 81920 MiB, 44, 99.06 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:34.973, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.19 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:35.223, 5 %, 2 %, 18269 MiB, 81920 MiB, 43, 93.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:35.474, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 95.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:35.724, 3 %, 0 %, 18269 MiB, 81920 MiB, 46, 95.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:35.974, 55 %, 37 %, 18269 MiB, 81920 MiB, 49, 397.43 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:36.225, 100 %, 66 %, 18269 MiB, 81920 MiB, 52, 385.63 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:36.475, 100 %, 60 %, 18269 MiB, 81920 MiB, 53, 382.91 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:36.726, 100 %, 50 %, 18269 MiB, 81920 MiB, 49, 389.27 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:36.976, 61 %, 24 %, 18269 MiB, 81920 MiB, 45, 98.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:37.226, 4 %, 0 %, 18269 MiB, 81920 MiB, 44, 95.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:37.477, 5 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:37.727, 6 %, 1 %, 18269 MiB, 81920 MiB, 49, 360.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:37.978, 93 %, 61 %, 18269 MiB, 81920 MiB, 51, 387.15 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:38.228, 100 %, 64 %, 18269 MiB, 81920 MiB, 52, 377.47 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:38.479, 99 %, 53 %, 18269 MiB, 81920 MiB, 53, 393.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:38.729, 100 %, 50 %, 18271 MiB, 81920 MiB, 48, 120.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:38.980, 27 %, 5 %, 18271 MiB, 81920 MiB, 45, 95.07 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:39.230, 3 %, 0 %, 18271 MiB, 81920 MiB, 44, 95.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:39.481, 5 %, 0 %, 18271 MiB, 81920 MiB, 44, 95.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:39.731, 3 %, 0 %, 18271 MiB, 81920 MiB, 43, 95.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:39.982, 18 %, 10 %, 18271 MiB, 81920 MiB, 49, 388.67 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:40.232, 100 %, 68 %, 18271 MiB, 81920 MiB, 52, 396.51 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:40.483, 99 %, 64 %, 18271 MiB, 81920 MiB, 52, 357.81 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:40.734, 100 %, 50 %, 18271 MiB, 81920 MiB, 54, 393.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:40.984, 100 %, 50 %, 18271 MiB, 81920 MiB, 53, 387.15 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:41.234, 15 %, 0 %, 18281 MiB, 81920 MiB, 46, 95.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:41.485, 0 %, 0 %, 18281 MiB, 81920 MiB, 45, 94.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:41.735, 5 %, 0 %, 18281 MiB, 81920 MiB, 44, 96.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:41.986, 4 %, 0 %, 18281 MiB, 81920 MiB, 44, 94.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:42.236, 5 %, 1 %, 18281 MiB, 81920 MiB, 49, 352.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:42.502, 100 %, 68 %, 18281 MiB, 81920 MiB, 52, 364.51 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:42.753, 100 %, 64 %, 18281 MiB, 81920 MiB, 53, 377.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:43.004, 100 %, 54 %, 18281 MiB, 81920 MiB, 54, 392.59 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:43.255, 37 %, 10 %, 18281 MiB, 81920 MiB, 47, 99.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:43.505, 3 %, 0 %, 18281 MiB, 81920 MiB, 45, 94.80 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:43.755, 5 %, 0 %, 18281 MiB, 81920 MiB, 44, 95.67 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:44.006, 10 %, 4 %, 18281 MiB, 81920 MiB, 50, 395.31 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:44.256, 100 %, 37 %, 7721 MiB, 81920 MiB, 47, 102.28 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:44.507, 100 %, 6 %, 2263 MiB, 81920 MiB, 45, 97.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:44.758, 90 %, 10 %, 3103 MiB, 81920 MiB, 46, 167.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
